trajectory_id,x,y
0,9.44,7.23
0,9.46,7.5
0,9.5,7.79
0,9.58,8.14
0,9.52,8.52
0,9.48,8.94
0,9.52,9.22
0,9.61,9.5
0,9.76,9.8
0,10.05,10.18
0,10.15,10.37
0,10.13,10.55
0,10.12,10.73
0,9.63,10.36
0,9.15,10.03
0,8.91,9.91
0,8.73,9.81
0,8.61,9.72
0,8.49,9.58
0,8.38,9.33
0,8.23,8.96
0,8.01,8.62
0,7.78,8.42
0,7.67,8.28
0,7.58,8.18
0,7.51,8.13
0,7.44,8.07
0,7.35,8.02
0,7.24,7.97
0,7.1,7.92
0,6.91,7.87
0,6.62,7.76
0,6.37,7.68
0,6.3,7.74
0,6.25,7.8
0,6.21,7.84
0,6.17,7.88
0,6.14,7.91
0,6.11,7.94
0,6.08,7.99
0,6.03,8.05
0,5.98,8.1
0,5.92,8.16
0,5.83,8.22
0,5.73,8.26
0,5.71,8.31
0,5.72,8.32
0,5.72,8.32
0,5.73,8.32
0,5.74,8.31
0,5.75,8.3
0,5.77,8.29
0,5.77,8.27
0,6.18,7.95
0,6.64,7.61
0,6.95,7.25
0,7.16,6.79
0,7.3,6.55
0,7.34,6.31
0,7.34,6.16
0,7.35,6.14
0,7.35,6.13
0,7.35,6.12
0,7.33,6.09
0,7.3,6.0
0,7.2,5.78
0,6.98,5.32
0,6.8,4.77
0,6.97,4.52
0,7.1,4.31
0,7.14,4.28
0,7.15,4.27
0,7.16,4.27
0,7.17,4.26
0,7.17,4.26
0,7.17,4.26
0,7.18,4.26
0,7.18,4.26
0,7.18,4.25
0,7.18,4.25
0,7.18,4.25
0,7.18,4.25
0,7.18,4.25
0,7.19,4.25
0,7.23,4.23
0,7.23,4.24
0,7.22,4.24
0,7.21,4.24
0,7.2,4.25
0,7.2,4.25
0,7.2,4.25
0,7.2,4.25
0,7.2,4.25
0,7.2,4.25
0,7.2,4.25
0,7.2,4.25
0,7.19,4.25
0,7.19,4.25
0,7.19,4.25
0,7.18,4.25
0,7.18,4.25
0,7.18,4.26
0,7.17,4.26
0,7.17,4.26
0,7.17,4.26
0,7.17,4.26
0,7.17,4.26
0,7.18,4.26
0,7.18,4.26
0,7.18,4.25
0,7.18,4.25
0,7.18,4.25
0,7.18,4.25
0,7.17,4.26
0,7.17,4.26
0,7.17,4.26
0,7.17,4.26
0,7.17,4.26
0,7.18,4.26
0,7.18,4.25
0,7.18,4.25
0,7.19,4.25
0,7.19,4.25
0,7.19,4.25
0,7.19,4.25
0,7.19,4.25
0,7.19,4.25
0,7.2,4.25
0,7.2,4.24
0,7.2,4.24
0,7.21,4.24
0,7.21,4.24
0,7.22,4.24
0,7.04,4.39
0,7.04,4.41
0,7.1,4.33
0,7.13,4.3
0,7.14,4.29
0,7.15,4.29
0,7.16,4.28
0,7.16,4.28
0,7.17,4.27
0,7.16,4.26
0,7.16,4.26
0,7.16,4.26
0,7.16,4.26
0,7.16,4.25
0,7.15,4.25
0,7.14,4.25
0,7.14,4.25
0,7.15,4.25
0,7.16,4.25
0,7.17,4.25
0,7.29,4.19
0,7.3,4.2
0,7.31,4.21
0,7.33,4.21
0,7.35,4.21
0,7.38,4.2
0,7.41,4.2
0,7.44,4.19
0,7.48,4.18
0,7.52,4.17
0,7.55,4.15
0,7.58,4.13
0,7.6,4.12
0,7.6,4.11
0,7.6,4.1
0,7.61,4.1
0,7.61,4.1
0,7.61,4.1
0,7.61,4.11
0,7.6,4.11
0,7.63,4.11
0,7.67,4.1
0,7.72,4.08
0,7.78,4.05
0,7.85,4.01
0,7.94,3.95
0,8.05,3.87
0,8.21,3.75
0,8.39,3.58
0,8.5,3.43
0,8.58,3.35
0,8.6,3.34
0,8.61,3.32
0,8.62,3.31
0,8.62,3.3
0,8.64,3.29
0,8.65,3.3
0,8.66,3.3
0,8.66,3.31
0,8.67,3.31
1,8.14,3.88
1,8.64,3.33
1,8.7,3.3
1,8.71,3.3
1,8.72,3.3
1,8.75,3.3
1,8.79,3.29
1,8.86,3.29
1,8.97,3.28
1,9.17,3.24
1,9.48,3.13
1,9.92,2.87
1,10.28,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.56
1,10.33,2.55
1,10.39,2.56
1,10.45,2.57
1,10.48,2.57
1,10.53,2.57
1,10.58,2.57
1,10.66,2.57
1,10.75,2.57
1,10.96,3.4
1,10.92,3.86
1,10.67,4.55
1,10.55,5.0
1,10.59,5.49
1,10.7,5.97
1,10.54,6.41
1,10.49,6.88
1,10.63,7.29
1,10.75,7.85
1,10.71,8.28
1,10.62,8.57
1,10.46,9.0
1,10.34,9.54
1,10.41,10.06
1,10.45,10.62
1,10.49,10.96
1,10.54,11.32
1,10.61,11.74
1,10.75,12.17
1,10.73,11.14
1,10.7,10.16
1,10.5,9.23
1,10.63,8.29
1,10.7,7.3
1,10.67,6.33
1,10.41,5.45
1,10.35,4.49
1,10.39,4.38
1,10.4,4.38
1,10.37,4.37
1,10.31,4.37
1,10.22,4.37
1,10.13,4.36
1,9.97,4.33
1,9.71,4.26
1,9.36,4.01
1,9.08,3.43
1,9.1,3.26
1,9.24,3.22
